"source_file","game_name","cheat_name","original_code_lines","detected_type","code_prefixes","address_or_addresses","values","reason_currently_unsupported","possible_future_support","estimated_runtime_complexity","estimated_resource_risk","correctness_risk","recommended_priority","notes"
"libretro-sega-saturn\Tetris Plus (GameShark).cht","Tetris Plus","Pause","160d18120010+160d20020055","multi-record direct 16-bit group","16","0x0D1812;0x0D2002","0x0010;0x0055","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Theme Park (GameShark).cht","Theme Park","Unlimited Money","160DF784+0FFF+160DF786+0FFF","multi-record direct 16-bit group","16","0x0DF784;0x0DF786","0x0FFF;0x0FFF","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Tryrush Deppy (Jpn T-21302G) (GameHacking).cht","Tryrush Deppy","Have All Stars [ReyVGM]","16071CF0+0101+16071CF2+0101+16071CF4+0101+16071CF6+0101+16071CF8+0101","multi-record direct 16-bit group","16","0x071CF0;0x071CF2;0x071CF4;0x071CF6;0x071CF8","0x0101;0x0101;0x0101;0x0101;0x0101","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Tryrush Deppy (Jpn T-21302G) (GameHacking).cht","Tryrush Deppy","Have All The Extra Stage Icons [ReyVGM]","16099960+0101+16099962+0101+16099964+0100","multi-record direct 16-bit group","16","0x099960;0x099962;0x099964","0x0101;0x0101;0x0100","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Ultimate Mortal Kombat 3 (GameShark).cht","Ultimate Mortal Kombat 3","Infinite Time","160DB57A+0009+160FF978+0009","multi-record direct 16-bit group","16","0x0DB57A;0x0FF978","0x0009;0x0009","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Vampire Savior (Jpn T-1228G) (GameHacking).cht","Vampire Savior","Infinite Health P1 [kchan@hknet.com]","16094186+0240+16094184+0240","multi-record direct 16-bit group","16","0x094186;0x094184","0x0240;0x0240","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Virtua Cop 2 (GameShark).cht","Virtua Cop 2","P1 Always Has Automatic Gun","16052C4A+0100+16052C4E+AC20","multi-record direct 16-bit group","16","0x052C4A;0x052C4E","0x0100;0xAC20","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Virtua Cop 2 (GameShark).cht","Virtua Cop 2","P1 Always Has Machine Gun","16052C4A+0300+16052C4E+ACF8","multi-record direct 16-bit group","16","0x052C4A;0x052C4E","0x0300;0xACF8","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Virtua Cop 2 (GameShark).cht","Virtua Cop 2","P1 Always Has Magnum","16052C4E+0500+16052C4E+B094","multi-record direct 16-bit group","16","0x052C4E","0x0500;0xB094","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Virtua Cop 2 (GameShark).cht","Virtua Cop 2","P1 Always Has Normal Gun","16052C4A+0000+16052C4E+ABF4","multi-record direct 16-bit group","16","0x052C4A;0x052C4E","0x0000;0xABF4","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Virtua Cop 2 (GameShark).cht","Virtua Cop 2","P1 Always Has Rifle","16052C4A+0200+16052C4E+AEA8","multi-record direct 16-bit group","16","0x052C4A;0x052C4E","0x0200;0xAEA8","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Virtua Cop 2 (GameShark).cht","Virtua Cop 2","P1 Always Has Shotgun","16052C4A+0400+16052C4E+B0FC","multi-record direct 16-bit group","16","0x052C4A;0x052C4E","0x0400;0xB0FC","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Virtua Cop 2 (GameShark).cht","Virtua Cop 2","P2 Always Has Automatic Gun","16052C9A+0100+16052C9E+AC20","multi-record direct 16-bit group","16","0x052C9A;0x052C9E","0x0100;0xAC20","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Virtua Cop 2 (GameShark).cht","Virtua Cop 2","P2 Always Has Machine Gun","16052C9A+0300+16052C9E+ACF8","multi-record direct 16-bit group","16","0x052C9A;0x052C9E","0x0300;0xACF8","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Virtua Cop 2 (GameShark).cht","Virtua Cop 2","P2 Always Has Magnum","16052C9A+0500+16052C9E+B094","multi-record direct 16-bit group","16","0x052C9A;0x052C9E","0x0500;0xB094","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Virtua Cop 2 (GameShark).cht","Virtua Cop 2","P2 Always Has Normal Gun","16052C9A+0000+16052C9E+ABF4","multi-record direct 16-bit group","16","0x052C9A;0x052C9E","0x0000;0xABF4","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Virtua Cop 2 (GameShark).cht","Virtua Cop 2","P2 Always Has Rifle","16052C9A+0200+16052C9E+AEA8","multi-record direct 16-bit group","16","0x052C9A;0x052C9E","0x0200;0xAEA8","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\Virtua Cop 2 (GameShark).cht","Virtua Cop 2","P2 Always Has Shotgun","16052C9A+0400+16052C9E+B0FC","multi-record direct 16-bit group","16","0x052C9A;0x052C9E","0x0400;0xB0FC","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\WipEout 2097 (Euro T-11308H-50) (GameHacking).cht","WipEout 2097","Faster auto drive [luc-ita]","1602E984+A006+1602F568+0009","multi-record direct 16-bit group","16","0x02E984;0x02F568","0xA006;0x0009","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\WipEout 2097 (Euro T-11308H-50) (GameHacking).cht","WipEout 2097","Opponents don't move [luc-ita]","1602F3E0+000B+1602F3E2+0009","multi-record direct 16-bit group","16","0x02F3E0;0x02F3E2","0x000B;0x0009","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Wizardry Llylgamyn Saga (Jpn T-38601G) (GameHacking).cht","Wizardry - Llylgamyn Saga","Assign bonus points even when they are zero [luc-ita]","16079A12+0009+1608D9BE+0009","multi-record direct 16-bit group","16","0x079A12;0x08D9BE","0x0009;0x0009","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Wizardry Llylgamyn Saga (Jpn T-38601G) (GameHacking).cht","Wizardry - Llylgamyn Saga","Buy even without money at Boltac's Trading Post [luc-ita]","1604CF4C+E000+1604CF38+E000+1604CF20+E000","multi-record direct 16-bit group","16","0x04CF4C;0x04CF38;0x04CF20","0xE000;0xE000;0xE000","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Wizardry Llylgamyn Saga (Jpn T-38601G) (GameHacking).cht","Wizardry - Llylgamyn Saga","Cast spells even without spell points [luc-ita]","160596AE+0009+1605964C+0009","multi-record direct 16-bit group","16","0x0596AE;0x05964C","0x0009;0x0009","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Wizardry Llylgamyn Saga (Jpn T-38601G) (GameHacking).cht","Wizardry - Llylgamyn Saga","Fight without ever being poisoned or other effects [luc-ita]","1605934A+000B+1605934C+0009","multi-record direct 16-bit group","16","0x05934A;0x05934C","0x000B;0x0009","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Wizardry Llylgamyn Saga (Jpn T-38601G) (GameHacking).cht","Wizardry - Llylgamyn Saga","Invulnerable [luc-ita]","16059F34+0009+16059786+0009+16055310+0009","multi-record direct 16-bit group","16","0x059F34;0x059786;0x055310","0x0009;0x0009;0x0009","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Wizardry Llylgamyn Saga (Jpn T-38601G) (GameHacking).cht","Wizardry - Llylgamyn Saga","Level up at Adventurer's Inn even without EXP [luc-ita]","1604CF44+E000+1604CF30+E000","multi-record direct 16-bit group","16","0x04CF44;0x04CF30","0xE000;0xE000","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Wizardry Llylgamyn Saga (Jpn T-38601G) (GameHacking).cht","Wizardry - Llylgamyn Saga","Open chests without being poisoned or other effects [luc-ita]","1605CDAE+000B+1605CDB0+0009","multi-record direct 16-bit group","16","0x05CDAE;0x05CDB0","0x000B;0x0009","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\WWF In Your House (GameShark).cht","WWF In Your House","Infinite Health P1","16030DE0+0055+16030DE2+0055","multi-record direct 16-bit group","16","0x030DE0;0x030DE2","0x0055;0x0055","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\WWF In Your House (GameShark).cht","WWF In Your House","Infinite Health P2","16030E02+0055+16030E00+0055","multi-record direct 16-bit group","16","0x030E02;0x030E00","0x0055;0x0055","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\WWF In Your House (GameShark).cht","WWF In Your House","Infinite Time","16015456+0009+16015454+0009","multi-record direct 16-bit group","16","0x015456;0x015454","0x0009;0x0009","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"libretro-sega-saturn\WWF In Your House (GameShark).cht","WWF In Your House","No Health P2","16030E00+0000+16030E02+0000","multi-record direct 16-bit group","16","0x030E00;0x030E02","0x0000;0x0000","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Zap! Snowboarding Trix (Jpn T-7502G) (GameHacking).cht","Zap! Snowboarding Trix","Opponent does not move [luc-ita]","160179E4+6033+160179E6+8800","multi-record direct 16-bit group","16","0x0179E4;0x0179E6","0x6033;0x8800","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Zap! Snowboarding Trix (Jpn T-7502G) (GameHacking).cht","Zap! Snowboarding Trix","Opponent struggles to move [luc-ita]","16012334+23B2+1601234C+23B2","multi-record direct 16-bit group","16","0x012334;0x01234C","0x23B2;0x23B2","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Zap! Snowboarding Trix '98 (Jpn T-7504G) (GameHacking).cht","Zap! Snowboarding Trix '98","Time limit stopped [luc-ita]","1600A428+0009+1600A6EE+0009","multi-record direct 16-bit group","16","0x00A428;0x00A6EE","0x0009;0x0009","multi-record simple 16-bit cheat split into manual parts; not emitted as a combined usable cheat yet","Best next feature: grouped direct-write queue using existing 16-bit RAMH RMW merge.","medium","low","medium","P1","from MISTER_LIBRARY_SKIPPED_20260613.csv; Already split manually; needs combined active group support."
"manual_import_queue_20260613\Magic Knight Rayearth (USA T-12706H) (GameHacking).cht.cht","Magic Knight Rayearth","Have All Rainbow Amulets [ReyVGM]","360BFCEC+00FF+360BFCED+00FF+360BFCEE+00FF+360BFCEF+00FF+360BFCF0+00FF+360BFCF1+00FF+360BFCF3+00FF","multi-record direct 8-bit group","36","0x0BFCEC;0x0BFCED;0x0BFCEE;0x0BFCEF;0x0BFCF0;0x0BFCF1;0x0BFCF3","0x00FF;0x00FF;0x00FF;0x00FF;0x00FF;0x00FF;0x00FF","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"libretro-sega-saturn\Magic Knight Rayearth (GameShark).cht","Magic Knight Rayearth","Infinite HP Fuu","360BFC5F+0014+360BFC60+0014","multi-record direct 8-bit group","36","0x0BFC5F;0x0BFC60","0x0014;0x0014","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"manual_import_queue_20260613\Magic Knight Rayearth (USA T-12706H) (GameHacking).cht.cht","Magic Knight Rayearth","Infinite HP Fuu [madreenrua@hotmail.com]","360BFC5F+0014+360BFC60+0014","multi-record direct 8-bit group","36","0x0BFC5F;0x0BFC60","0x0014;0x0014","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"libretro-sega-saturn\Magic Knight Rayearth (GameShark).cht","Magic Knight Rayearth","Infinite HP Hikaru","360BFC4B+0014+360BFC4C+0014","multi-record direct 8-bit group","36","0x0BFC4B;0x0BFC4C","0x0014;0x0014","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"manual_import_queue_20260613\Magic Knight Rayearth (USA T-12706H) (GameHacking).cht.cht","Magic Knight Rayearth","Infinite HP Hikaru [madreenrua@hotmail.com]","360BFC4B+0014+360BFC4C+0014","multi-record direct 8-bit group","36","0x0BFC4B;0x0BFC4C","0x0014;0x0014","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"libretro-sega-saturn\Magic Knight Rayearth (GameShark).cht","Magic Knight Rayearth","Infinite HP Umi","360BFC55+0014+360BFC56+0014","multi-record direct 8-bit group","36","0x0BFC55;0x0BFC56","0x0014;0x0014","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"manual_import_queue_20260613\Magic Knight Rayearth (USA T-12706H) (GameHacking).cht.cht","Magic Knight Rayearth","Infinite HP Umi [madreenrua@hotmail.com]","360BFC55+0014+360BFC56+0014","multi-record direct 8-bit group","36","0x0BFC55;0x0BFC56","0x0014;0x0014","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"libretro-sega-saturn\Magic Knight Rayearth (GameShark).cht","Magic Knight Rayearth","Infinite MP Fuu","360BFC61+0014+360BFC62+0014","multi-record direct 8-bit group","36","0x0BFC61;0x0BFC62","0x0014;0x0014","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"manual_import_queue_20260613\Magic Knight Rayearth (USA T-12706H) (GameHacking).cht.cht","Magic Knight Rayearth","Infinite MP Fuu [madreenrua@hotmail.com]","360BFC61+0014+360BFC62+0014","multi-record direct 8-bit group","36","0x0BFC61;0x0BFC62","0x0014;0x0014","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"libretro-sega-saturn\Magic Knight Rayearth (GameShark).cht","Magic Knight Rayearth","Infinite MP Hikaru","360BFC4D+0014+360BFC4E+0014","multi-record direct 8-bit group","36","0x0BFC4D;0x0BFC4E","0x0014;0x0014","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"manual_import_queue_20260613\Magic Knight Rayearth (USA T-12706H) (GameHacking).cht.cht","Magic Knight Rayearth","Infinite MP Hikaru [madreenrua@hotmail.com]","360BFC4D+0014+360BFC4E+0014","multi-record direct 8-bit group","36","0x0BFC4D;0x0BFC4E","0x0014;0x0014","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"libretro-sega-saturn\Magic Knight Rayearth (GameShark).cht","Magic Knight Rayearth","Infinite MP Umi","360BFC57+0014+360BFC58+0014","multi-record direct 8-bit group","36","0x0BFC57;0x0BFC58","0x0014;0x0014","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"manual_import_queue_20260613\Magic Knight Rayearth (USA T-12706H) (GameHacking).cht.cht","Magic Knight Rayearth","Infinite MP Umi [madreenrua@hotmail.com]","360BFC57+0014+360BFC58+0014","multi-record direct 8-bit group","36","0x0BFC57;0x0BFC58","0x0014;0x0014","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"Panzer Dragoon Demo (GameShark).cht","Panzer Dragoon Demo","Play Level 1","36045A55+0031+36045A61+0031+36045A6D+0031+36045A79+0031","multi-record direct 8-bit group","36","0x045A55;0x045A61;0x045A6D;0x045A79","0x0031;0x0031;0x0031;0x0031","8-bit row handled by SRM8/SRM9 path: multi-record simple 8-bit cheat skipped; current proof supports one active refresh record only","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from generated_srmw_srmr_unsupported_or_skipped.csv; Current SRM8 proof supports one record only."
"Panzer Dragoon Demo (GameShark).cht","Panzer Dragoon Demo","Play Level 3 (???)","36045A55+0033+36045A61+0033+36045A6D+0033+36045A79+0033","multi-record direct 8-bit group","36","0x045A55;0x045A61;0x045A6D;0x045A79","0x0033;0x0033;0x0033;0x0033","8-bit row handled by SRM8/SRM9 path: multi-record simple 8-bit cheat skipped; current proof supports one active refresh record only","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from generated_srmw_srmr_unsupported_or_skipped.csv; Current SRM8 proof supports one record only."
"manual_import_queue_20260613\Willy Wombat (Jpn T-14306G) (GameHacking).cht","Willy Wombat","Area 1 All Stages Completed [ReyVGM]","36069E61+00FF+36069E63+00FF+36069E65+00FF+36069E67+00FF+36069E69+00FF","multi-record direct 8-bit group","36","0x069E61;0x069E63;0x069E65;0x069E67;0x069E69","0x00FF;0x00FF;0x00FF;0x00FF;0x00FF","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"manual_import_queue_20260613\Willy Wombat (Jpn T-14306G) (GameHacking).cht","Willy Wombat","Area 2 All Stages Completed [ReyVGM]","36069E71+00FF+36069E73+00FF+36069E75+00FF+36069E77+00FF","multi-record direct 8-bit group","36","0x069E71;0x069E73;0x069E75;0x069E77","0x00FF;0x00FF;0x00FF;0x00FF","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"manual_import_queue_20260613\Willy Wombat (Jpn T-14306G) (GameHacking).cht","Willy Wombat","Area 3 All Stages Completed [ReyVGM]","36069E81+00FF+36069E83+00FF+36069E85+00FF+36069E87+00FF","multi-record direct 8-bit group","36","0x069E81;0x069E83;0x069E85;0x069E87","0x00FF;0x00FF;0x00FF;0x00FF","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
"manual_import_queue_20260613\Willy Wombat (Jpn T-14306G) (GameHacking).cht","Willy Wombat","Area 4 All Stages Completed [ReyVGM]","36069E91+00FF+36069E93+00FF+36069E95+00FF+36069E97+00FF","multi-record direct 8-bit group","36","0x069E91;0x069E93;0x069E95;0x069E97","0x00FF;0x00FF;0x00FF;0x00FF","8-bit writes are out of scope for current SRMW/SRMR generator","Grouped queue can reuse SRM8 byte-lane RMW path after SRM8/SRM9 timing cleanup.","medium","low","medium","P2","from MISTER_LIBRARY_SKIPPED_20260613.csv; Current SRM8 proof supports one record only."
